API_Code,IndicatorName,Identifier,ShortDefinition,Source,Topic
EN.ATM.CO2E.GF.ZS,CO2 emissions from gaseous fuel consumption (% of total),1300,Energy use refers to use of pr,International Energy Agency (I,Environment: Energy production
EN.ATM.CO2E.KT,CO2 emissions (kt),1310,Carbon dioxide emissions are t,Carbon dioxide emissions are t,Carbon Dioxide Information Ana
EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1320,Carbon dioxide emissions are t,Carbon dioxide emissions are t,Carbon Dioxide Information Ana
EN.ATM.CO2E.LF.ZS,CO2 emissions from liquid fuel consumption (% of total),1330,Carbon dioxide emissions are t,Carbon dioxide emissions are t,Carbon Dioxide Information Ana
EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1340,Carbon dioxide emissions are t,Carbon dioxide emissions are t,Carbon Dioxide Information Ana
EN.ATM.CO2E.SF.KT,CO2 emissions from solid fuel consumption (kt),1350,Carbon dioxide emissions are t,Carbon dioxide emissions are t,Carbon Dioxide Information Ana
EN.ATM.CO2E.SF.ZS,CO2 emissions from solid fuel consumption (% of total),1360,Carbon dioxide emissions are t,Carbon dioxide emissions are t,Carbon Dioxide Information Ana
EN.ATM.GHGO.KT.CE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",1370,Other greenhouse gas emissions,Other greenhouse gas emissions,International Energy Agency (I
EN.ATM.GHGO.ZG,Other greenhouse gas emissions (% change from 1990),1380,Other greenhouse gas emissions,Other greenhouse gas emissions,International Energy Agency (I
EN.ATM.GHGT.KT.CE,Total greenhouse gas emissions (kt of CO2 equivalent),1390,Total greenhouse gas emissions,"European Commission, Joint Res",Environment: Emissions
EN.ATM.GHGT.ZG,Total greenhouse gas emissions (% change from 1990),1400,Total greenhouse gas emissions,World Bank staff estimates fro,Environment: Emissions
EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent),1410,Other greenhouse gas emissions,Other greenhouse gas emissions,International Energy Agency (I
EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total),1420,Agricultural methane emissions,Agricultural methane emissions,International Energy Agency (I
EN.ATM.METH.EG.KT.CE,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),1430,Methane emissions from energy ,"European Commission, Joint Res",Environment: Emissions
EN.ATM.METH.EG.ZS,Energy related methane emissions (% of total),1440,Methane emissions from energy ,World Bank staff estimates fro,Environment: Emissions
EN.ATM.METH.IN.ZS,Industrial methane emissions (% of total),1450,Industrial methane emissions a,Industrial methane emissions a,International Energy Agency (I
EN.ATM.METH.KT.CE,Methane emissions (kt of CO2 equivalent),1460,Methane emissions are those st,Methane emissions are those st,International Energy Agency (I
EN.ATM.METH.ZG,Methane emissions (% change from 1990),1580,Methane emissions are those st,Methane emissions are those st,International Energy Agency (I
EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),1470,Methane emissions are those st,Methane emissions are those st,International Energy Agency (I
EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total),1480,Methane emissions are those st,Methane emissions are those st,International Energy Agency (I
EN.ATM.NOXE.EG.ZS,Nitrous oxide emissions in energy sector (% of total),1490,Methane emissions are those st,Methane emissions are those st,International Energy Agency (I
EN.ATM.NOXE.KT.CE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1500,Nitrous oxide emissions are em,Nitrous oxide emissions are em,International Energy Agency (I
EN.ATM.NOXE.ZG,Nitrous oxide emissions (% change from 1990),1510,Nitrous oxide emissions are em,Nitrous oxide emissions are em,International Energy Agency (I
EN.CO2.BLDG.ZS,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),1520,Nitrous oxide emissions are em,Nitrous oxide emissions are em,International Energy Agency (I
EN.CO2.ETOT.ZS,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",1530,Nitrous oxide emissions are em,Nitrous oxide emissions are em,International Energy Agency (I
EN.CO2.MANF.ZS,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),1540,Nitrous oxide emissions are em,Nitrous oxide emissions are em,International Energy Agency (I
EN.CO2.OTHX.ZS,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1550,Nitrous oxide emissions are em,Nitrous oxide emissions are em,International Energy Agency (I
EN.CO2.TRAN.ZS,CO2 emissions from transport (% of total fuel combustion),1560,Nitrous oxide emissions are em,Nitrous oxide emissions are em,International Energy Agency (I
IC.BUS.EASE.XQ,Ease of doing business index (1=most business-friendly regulations),1570,Ease of doing business index r,World Bank,Private Sector & Trade: Busine
NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$),1590,Adjusted net national income i,World Bank staff estimates bas,Economic Policy & Debt: Nation
NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1600,Annual percentage growth rate ,Annual percentage growth rate ,World Bank national accounts d
NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)",1610,PPP GDP is gross domestic prod,"World Bank, International Comp",Economic Policy & Debt: Purcha
SI.POV.NAHC,Poverty headcount ratio at national poverty lines (% of population),1620,National poverty headcount rat,"World Bank, Global Poverty Wor",Poverty: Poverty rates
SP.POP.GROW,Population growth (annual %),2160,Annual population growth rate.,Annual population growth rate ,Derived from total population.
SP.POP.TOTL,"Population, total",2170,Total population is based on t,Total population is based on t,(1) United Nations Population
SP.POP.TOTL.FE.IN,"Population, female",2180,Female population is based on ,Female population is based on ,Derived from data on total pop
SP.POP.TOTL.FE.ZS,"Population, female (% of total)",2190,Female population is the perce,Female population is the perce,United Nations Population Divi
SP.POP.TOTL.MA.IN,"Population, male",2200,Male population is based on th,Male population is based on th,Derived from data on total pop
SP.POP.TOTL.MA.ZS,"Population, male (% of total)",2210,Male population is the percent,Male population is the percent,United Nations Population Divi
SP.RUR.TOTL,Rural population,2220,Rural population refers to peo,Rural population refers to peo,The data on urban population s
SP.RUR.TOTL.ZG,Rural population growth (annual %),2230,Rural population refers to peo,Rural population refers to peo,World Bank Staff estimates bas
SP.RUR.TOTL.ZS,Rural population (% of total population),2240,Rural population refers to peo,Rural population refers to peo,World Bank Staff estimates bas
SP.URB.GROW,Urban population growth (annual %),2250,Urban population refers to peo,Urban population refers to peo,World Bank Staff estimates bas
SP.URB.TOTL,Urban population,2260,Urban population refers to peo,Urban population refers to peo,World Bank Staff estimates bas
SP.URB.TOTL.IN.ZS,Urban population (% of total),2270,Urban population refers to peo,Urban population refers to peo,"United Nations, World Urbaniza"
